id,title,description,link,image_link,availability,price,condition,brand
MINOX-2,Миноксидил 2% за жени – 125 мл,Миноксидил 2% е подходящ за жени с начален косопад. Оригинален продукт с бърза доставка до цяла България.,https://minoxidilbg.com/minoxidil-2/,https://minoxidilbg.com/assets/images/minoxidil-2-procenta.png,in_stock,47.00 BGN,new,MinoxidilBG
MINOX-5,Миноксидил 5% за мъже – 125 мл,Миноксидил 5% е силно решение за мъже с изразен косопад. Поръчайте онлайн с наложен платеж.,https://minoxidilbg.com/minoxidil-5/,https://minoxidilbg.com/assets/images/minoxidil-kosopad-5-procenta.gif,in_stock,52.00 BGN,new,MinoxidilBG
